ranking_player_id,ranking_name,player_id
100004,Giuseppe Merlo,M276
100009,Istvan Gulyas,G151
100011,Torben Ulrich,U011
100013,Neale Fraser,F113
100016,Ken Rosewall,R075
100017,Mal Anderson,A060
100020,Alejandro Olmedo,O042
100022,Roy Emerson,E030
100023,Ramanathan Krishnan,K103
100025,Barry Phillips Moore,P078
100026,Andres Gimeno,G075
100027,Gene Scott,S210
100028,Manuel Santana,S245
100029,Rod Laver,L058
100030,Fred Stolle,S129
100033,Wilhelm Bungert,B237
100035,Ion Tiriac,T040
100036,Rudy Hernando,H098
100037,Nikola Pilic,P080
100038,Jaime Pinto Bravo,P067
100039,Boro Jovanovic,J033
100040,Bob Hewitt,H058
100044,Sergei Likhachev,L119
100045,John Paish,P142
100047,Bob Carmichael,C080
100048,Earl Butch Buchholz,B228
100049,Jim Mcmanus,M144
100050,Martin Mulligan,M155
100051,Premjit Lall,L117
100054,Jose Edison Mandarino,M135
100055,Cliff Drysdale,D082
100056,Harald Elschenbroich,E037
100057,Pierre Barthes,B122
100058,Roger Taylor,T050
100060,Marty Riessen,R055
100061,Tom Edlefsen,E035
100062,Francois Jauffret,J031
100063,William Higgins,H129
100064,Juan Gisbert Sr,G076
100065,Terry Ryan,R078
100066,Frank Froehling,F079
100067,Frew Mcmillan,M111
100068,Herb Fitzgibbon,F109
100069,Dennis Ralston,R064
100070,Jan Kukal,K099
100073,Mark Cox,C090
100074,Arthur Ashe,A063
100075,Owen Davidson,D054
100076,Milan Holecek,H059
100078,Clark Graebner,G079
100079,Bill Bowrey,B224
100080,Szabolcz Baranyi,B233
100081,Charlie Pasarell,P072
100082,Roger Dowdeswell,D081
100083,Nicola Spear,S146
100084,Tom Okker,O032
100085,Hans Joachim Ploetz,P081
100086,Frantisek Pala,P100
100087,John Newcombe,N044
100088,Patricio Cornejo,C088
100090,Dick Crealy,C093
100091,Colin Dibley,D076
100092,Alex Metreveli,M271
100093,William Brown,B134
100097,Nicholas Kalogeropoulos,K045
100098,Ove Bengtson,B126
100099,Thomaz Koch,K036
100100,Tony Roche,R073
100101,Mike Belkin,B125
100102,Joaquin Loyo Mayo,L066
100104,Richard Russell,R0DI
100105,Allan Stone,S148
100106,Graham Stilwell,S147
100107,Robert Rheinberger,R069
100109,Jun Kuki,K054
100110,Terry Addison,A056
100111,Ray Keldie,K047
100113,Jan Kodes,K049
100114,Ray Ruffels,R076
100115,Jaime Fillol,F428
100116,Sherwood Stewart,S082
100117,Butch Seewagen,S139
100118,Ivan Molina,M152
100119,Ilie Nastase,N008
100120,Robert Maud,M140
100121,Raymond Moore,M118
100122,Julian Ganzabal,G068
100123,Patrick Hombergen,H127
100125,John Cooper,C171
100126,Stan Smith,S060
100127,Tom Gorman,G078
100128,Cliff Richey,R071
100129,Jean Baptiste Chanfreau,C083
100130,Vladimir Zednik,Z023
100132,Armistead Neely,N043
100133,Pat Cramer,C091
100134,Roy Barth,B121
100135,Onny Parun,P070
100136,Humphrey Hose,H064
100137,Hans Jurgen Pohmann,P082
100139,Gerald Battrick,B124
100140,Steve Faulk,F069
100141,Zeljko Franulovic,F074
100142,Peter Szoke,S230
100144,Bob Lutz,L045
100145,Dick Dell,D073
100146,Jun Kamiwazumi,K002
100148,Ismail El Shafei,E038
100149,Toshiro Sakai,S103
100151,Karl Coombes,C087
100152,David Lloyd,L083
100153,Patrice Hagelauer,H101
100154,Petr Kanderal,K113
100155,Ramiro Benavides,B034
100156,Jasjit Singh,S142
100158,John Bartlett,B123
100159,Vladimir Korotkov,K097
100160,Georges Goven,G031
100161,Jurgen Fassbender,F068
100162,Brian Fairlie,F066
100163,Tom Leonard,L061
100164,Bill Lofgren,L065
100166,Gene Malin,M134
100168,Kenneth McMillan,M145
100169,Ian Fletcher,F071
100170,Bernard Mignot,M151
100171,John Yuill,Y008
100172,Modesto Tito Vazquez,V051
100173,Andrew Pattison,P074
100174,Manuel Orantes,O017
100175,Zan Guerry,G116
100176,Hans Kary,K041
100177,Pavel Hutka,H097
100178,Bob Giltinan,G074
100179,Karl Meiler,M055
100180,Bill Lloyd,L064
100182,Mike Estep,E040
100185,Patrick Proisy,P085
100186,Jeff Borowiak,B059
100188,John Fort,F073
100190,Norman Holmes,H062
100191,Doug Crawford,C053
100193,Wanaro N'Godrella,N045
100196,Haroon Rahim,R063
100197,Alejandro Pierola,P030
100198,Alvaro Betancur,B131
100199,Patrice Dominguez,D080
100200,Antonio Zugarelli,Z013
100201,Syd Ball,B106
100202,George Amaya,A058
100203,Phil Dent,D074
100205,Paul Gerken,G073
100206,Kenichi Hirai,H023
100208,Dick Bohrnstedt,B238
100210,Steve Docherty,D078
100211,Louk Sanders,S136
100212,Franklin Robbins,R096
100214,Adriano Panatta,P059
100215,Fred McNair IV,M146
100217,Bob Mckinley,M293
100219,Geoff Masters,M139
100220,Jiri Hrebec,H066
100221,Carlos Kirmayr,K009
100223,Jeff Simpson,S123
100224,Peter Campbell,C079
100226,Mike Machette,M132
100227,Alvin Gardiner,G070
100228,Kjell Johansson,J032
100229,Dick Stockton,S090
100230,Welry Fritz,F057
100231,Erik Van Dillen,V049
100232,Eddie Dibbs,D026
100233,Ricardo Cano,C010
100235,Antonio Munoz,M156
100236,John James,J029
100238,Rick Fisher,F070
100239,Hans Engert,E063
100240,Joao Soares,S062
100241,Joel Bailey,B002
100243,Steve Krulevitz,K053
100244,John Alexander,A014
100245,Jeff Austin,A065
100246,Frank Puncec,P055
100247,Rolf Thung,T051
100248,Max Hurlimann,H067
100249,Paolo Bertolucci,B129
100250,Woody Blocher,B132
100251,Grover Raz Reid,R068
100252,Tim Gullikson,G048
100253,Tom Gullikson,G049
100255,Roscoe Tanner,T006
100257,Ross Case,C020
100258,Jorge Andrew,A061
100259,Peter Feigl,F011
100261,Brian Gottfried,G029
100262,Rolf Norberg,N048
100263,John Andrews,A062
100265,Cliff Letcher,L062
100266,John Feaver,F008
100267,Rayno Seegers,S138
100268,Denis Naegelen,N042
100270,Anand Amritraj,A021
100271,Jean Francois Caujolle,C082
100272,Sandy Mayer,M039
100273,Kim Warwick,W006
100274,Eric Deblicker,D063
100276,Terry Moor,M081
100277,Jacques Thamin,T099
100278,Frank Gebert,G071
100279,Mike Cahill,C075
100280,Wojtek Fibak,F020
100281,Sashi Menon,M058
100282,Guillermo Vilas,V028
100284,Jimmy Connors,C044
100285,Rod Frawley,F039
100286,Harold Solomon,S065
100287,Robin Drysdale,D042
100288,Tenny Svensson,S149
100289,Byron Bertram,B130
100290,Timothy Noonan,N046
100292,Alvaro Fillol,F025
100293,John Marks,M136
100294,Rejean Genois,G072
100297,Corrado Barazzutti,B007
100298,George Hardie,H056
100299,James Chico Hagey,H054
100300,Jose Higueras,H019
100301,Jim Delaney,D072
100302,Joaquim Rasgado Jr,R066
100303,Henry Bunis,B135
100304,Bob Kreiss,K052
100305,Mark Farrell,F067
100306,Mike Wayman,W010
100307,Paul Torre,T048
100308,Robert Trogolo,T052
100309,Raul Ramirez,R065
100310,Mike Myburg,M124
100313,Keith Richardson,R070
100314,Bernard Fritz,F045
100315,Hank Pfister,P026
100316,Scott Carnahan,C081
100317,Stephen Warboys,W090
100318,Roger Guedes,G046
100319,Rick Fagel,F001
100320,Mark Meyers,M149
100321,Vijay Amritraj,A022
100322,Emilio Montano,M153
100323,Givaldo Barbosa,B015
100324,John Whitlinger,W051
100325,Ulrich Pinner,P034
100326,Russell Simpson,S052
100327,Willem Prinsloo,P084
100331,Jean Louis Haillet,H041
100332,Balazs Taroczy,T007
100334,Ernie Ewert,E066
100335,David Parker,P197
100336,Guillermo Aubone,A064
100337,Mark Edmondson,E005
100339,Victor Amaya,A044
100342,Vitas Gerulaitis,G008
100343,John Lloyd,L036
100344,Eric Friedler,F077
100345,Pat Dupre,D048
100346,Paul Kronk,K073
100348,Gerard Toulon,T077
100349,Glen Holroyd,H063
100353,Bruce Kleege,K012
100354,Bernie Mitton,M072
100356,Paul Mcnamee,M050
100357,Bhanu Nunna,N050
100358,Mike Fishbach,F092
100359,Richard Lewis,L025
100360,Brian Teacher,T011
100362,Peter Fleming,F030
100363,Jiri Granat,G040
100364,Jonathan Smith,S059
100367,Belus Prajoux,P046
100368,Haroon Ismail,I005
100369,Herve Gauvain,G064
100372,Trey Waltke,W045
100374,Javier Soler,S064
100375,John Hayes,H010
100376,Buster C Mottram,M154
100377,Colin Dowdeswell,D037
100378,David Schneider,S115
100380,Butch Walts,W002
100382,Chris Kachel,K044
100383,Peter Mcnamara,M051
100384,Alejandro Cortes,C089
100388,Peter Pearson,P075
100390,Trevor Allan,A017
100392,Rick Meyer,M061
100393,Marcos Hocevar,H026
100394,Angel Gimenez,G017
100395,Victor Pecci,P015
100396,Martin Robinson,R031
100397,Terry Rocavert,R072
100398,Julio Goes,G020
100400,Hubertus Hoyt,H065
100402,Francisco Gonzalez,G024
100403,Rolf Gehring,G007
100405,Fernando Maynetto,M040
100406,Greg Halder,H055
100407,Dale Collings,C085
100409,Randy Crawford,C092
100410,Tim Garcia,G069
100411,Pavel Slozil,S056
100413,Ulrich Marten,M137
100415,Michael Grant,G081
100416,Bill Maze,M122
100417,Hans Gildemeister,G015
100421,Jan Norback,N047
100422,Bruce Manson,M014
100426,Hans Peter Kandler,K003
100427,Ferrante Rocchi,R033
100428,Gene Mayer,M038
100429,Miguel Mir,M123
100430,David Carter,C072
100431,Mansour Bahrami,B001
100434,Tomas Smid,S058
100436,Nick Saviano,S111
100437,Bjorn Borg,B058
100438,Carlos Gattiker,G005
100440,Eddie Edwards,E006
100443,Christophe Freyss,F042
100444,Werner Zirngibl,Z012
100445,Steve Denton,D019
100446,John Sadri,S005
100447,Juan Nunez,N049
100448,Bruce Foxworth,F038
100449,Stanislav Birner,B046
100450,Leo Palin,P003
100451,Tony Graham,G080
100452,Bill Scanlon,S017
100453,Jose Luis Damiani,D069
100456,Ferdi Taygan,T037
100460,Jose Lopez Maeso,L039
100461,Billy Martin,M138
100463,Ben Mckown,M143
100464,Warren Maher,M133
100468,Dominique Bedel,B030
100470,Juan Carlos Andrade,A024
100471,Mark Vines,V042
100472,Craig Wittus,W030
100473,Glenn Petrovic,P076
100474,Chris Lewis,L024
100475,Matt Mitchell,M071
100477,Gianni Ocleppo,O004
100481,Roberto Vizcaino,V035
100483,Christophe Casa,C073
100485,Tsuyoshi Fukui,F048
100486,Christophe Roger-Vasselin,R037
100488,Chris Delaney,D071
100489,Larry Stefanki,S081
100490,Jaroslav Navratil,N010
100492,John Austin,A053
100495,Wayne Hampson,H001
100496,Charles Buzz Strode,S092
100498,Klaus Eberhard,E003
100499,Chris Mayotte,M141
100502,Vincent Van Patten,V010
100504,Jerome Vanier,V007
100506,Howard Schoenfield,S137
100512,Robert Reininger,R014
100515,Shlomo Glickstein,G019
100516,Andrew Jarrett,J030
100517,Matt Doyle,D039
100518,Ricardo Acuna,A002
100519,Scott Mccain,M043
100522,Chris Dunk,D045
100523,Erick Iskersky,I004
100525,Gilles Moretton,M119
100526,Ricardo Ycaza,Y007
100529,Kevin Curren,C057
100530,Andreas Maurer,M036
100532,Johan Kriek,K022
100533,Paul Avis,A113
100534,Steve Meister,M056
100535,Tony Giammalva,G011
100536,Fernando Luna,L043
100537,Mike Brunnberg,B077
100538,Alejandro Gattiker,G006
100540,Drew Gitlin,G018
100541,Jan Kallquist,K069
100543,Peter Elter,E013
100544,Tony Mmoh,M073
100545,Deon Joubert,J021
100546,Eric Fromm,F047
100547,Rocky Royer,R046
100548,Ivan Kley,K013
100550,Brad Guan,G084
100551,Brad Drewett,D040
100553,Nduka Odizor,O006
100555,Jose Luis Clerc,C039
100556,Brian Levine,L022
100557,Jai Dilouie,D077
100562,Tom Cain,C002
100565,Lloyd Bourne,B066
100567,Chip Hooper,H033
100568,John Mattke,M034
100570,Marty Davis,D005
100572,Ney Keller,K006
100573,Ron Hightower,H020
100574,Peter Rennert,R017
100575,Andy Andrews,A023
100577,Rory Chappell,C084
100579,Heinz Gunthardt,G050
100581,John McEnroe,M047
100585,Van Winitsky,W027
100586,Eliot Teltscher,T012
100587,Steve Guy,G055
100588,Pender Murphy,M158
100592,Robert Vant Hof,V008
100593,Miloslav Lacek,L001
100595,Ronnie Bathman,B022
100597,Jay Lapidus,L005
100598,Wolfgang Popp,P041
100599,Bernard Boileau,B054
100600,Pascal Portes,P042
100602,Vallis Wilder,W069
100603,Roland Stadler,S077
100604,Egan Adams,A004
100605,Charlie Fancutt,F002
100606,Mike Bauer,B023
100607,Eduardo Bengoechea,B035
100609,Zoltan Kuharszky,K031
100611,Mel Purcell,P057
100615,Gianluca Rinaldini,R026
100616,Andy Kohlberg,K017
100617,Bud Schultz,S018
100618,Leif Shiras,S045
100620,Eduardo Osta,O027
100623,Roger Knapp,K015
100624,Derek Tarr,T008
100625,Scott Lipton,L032
100628,Michiel Schapers,S021
100630,Gustavo Guerrero,G047
100631,Tim Wilkison,W019
100635,Mark Dickson,D028
100636,Gustavo Tiberti,T020
100638,David Mustard,M097
100639,Blaine Willenborg,W022
100640,Stefan Simonsson,S051
